AssertionError: ('Bad return', ('profile', 0, 'main()'))
         379140 function calls (361575 primitive calls) in 0.334 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
 3030/223    0.029    0.000    0.079    0.000 sre_parse.py:494(_parse)
      239    0.021    0.000    0.021    0.000 {built-in method marshal.loads}
 3581/183    0.016    0.000    0.035    0.000 sre_compile.py:87(_compile)
  733/712    0.011    0.000    0.120    0.000 {built-in method builtins.__build_class__}
    324/1    0.008    0.000    0.334    0.334 {built-in method builtins.exec}
    17156    0.008    0.000    0.008    0.000 sre_parse.py:234(__next)
 3602/377    0.007    0.000    0.010    0.000 sre_parse.py:175(getwidth)
      688    0.007    0.000    0.010    0.000 sre_compile.py:292(_optimize_charset)
    19974    0.007    0.000    0.010    0.000 sre_parse.py:165(__getitem__)
 1062/184    0.006    0.000    0.080    0.000 sre_parse.py:436(_parse_sub)
45231/40957    0.006    0.000    0.007    0.000 {built-in method builtins.len}
      559    0.005    0.000    0.020    0.000 <frozen importlib._bootstrap_external>:1536(find_spec)
      9/8    0.005    0.001    0.012    0.001 {built-in method _imp.exec_dynamic}
     1184    0.005    0.000    0.005    0.000 {built-in method posix.stat}
    49319    0.005    0.000    0.005    0.000 {method 'append' of 'list' objects}
    33878    0.005    0.000    0.005    0.000 {built-in method builtins.isinstance}
        1    0.005    0.005    0.037    0.037 dammit.py:70(_populate_class_variables)
      239    0.004    0.000    0.004    0.000 {built-in method io.open_code}
    11059    0.004    0.000    0.009    0.000 sre_parse.py:255(get)
      239    0.003    0.000    0.003    0.000 {method 'read' of '_io.BufferedReader' objects}
       24    0.003    0.000    0.007    0.000 enum.py:180(__new__)
        9    0.003    0.000    0.003    0.000 {built-in method _imp.create_dynamic}
      330    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
      563    0.003    0.000    0.003    0.000 {built-in method __new__ of type object at 0x55e15227d9a0}
     8163    0.003    0.000    0.005    0.000 sre_parse.py:250(match)
     3026    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:128(<listcomp>)
      475    0.003    0.000    0.003    0.000 css_types.py:37(__init__)
     3026    0.003    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
     9308    0.002    0.000    0.002    0.000 {built-in method builtins.min}
     8316    0.002    0.000    0.003    0.000 sre_parse.py:161(__len__)
     3165    0.002    0.000    0.002    0.000 {built-in method builtins.getattr}
      239    0.002    0.000    0.039    0.000 <frozen importlib._bootstrap_external>:950(get_code)
     4135    0.002    0.000    0.002    0.000 sre_parse.py:112(__init__)
      254    0.002    0.000    0.132    0.001 re.py:288(_compile)
      478    0.002    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:380(cache_from_source)
      288    0.002    0.000    0.028    0.000 <frozen importlib._bootstrap>:921(_find_spec)
     5215    0.002    0.000    0.003    0.000 sre_parse.py:173(append)
      490    0.002    0.000    0.004    0.000 typing.py:146(_type_check)
     2622    0.002    0.000    0.002    0.000 {method 'match' of 're.Pattern' objects}
      270    0.002    0.000    0.024    0.000 <frozen importlib._bootstrap_external>:1399(_get_spec)
     2102    0.002    0.000    0.004    0.000 typing.py:986(__setattr__)
      121    0.002    0.000    0.003    0.000 sre_compile.py:516(_get_charset_prefix)
    293/2    0.002    0.000    0.334    0.167 <frozen importlib._bootstrap>:1022(_find_and_load)
    266/2    0.001    0.000    0.334    0.167 <frozen importlib._bootstrap>:664(_load_unlocked)
      455    0.001    0.000    0.003    0.000 enum.py:89(__setitem__)
      249    0.001    0.000    0.008    0.000 typing.py:1016(__init__)
      266    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap>:492(_init_module_attrs)
     5814    0.001    0.000    0.001    0.000 {method 'startswith' of 'str' objects}
     3360    0.001    0.000    0.002    0.000 sre_parse.py:287(tell)
    292/2    0.001    0.000    0.334    0.167 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
     1019    0.001    0.000    0.003    0.000 sre_parse.py:296(_class_escape)
      181    0.001    0.000    0.002    0.000 typing_extensions.py:184(_collect_type_vars)
      313    0.001    0.000    0.005    0.000 css_parser.py:999(selector_iter)
     4078    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
      688    0.001    0.000    0.002    0.000 sre_compile.py:265(_compile_charset)
     3163    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
      183    0.001    0.000    0.009    0.000 sre_compile.py:560(_compile_info)
      183    0.001    0.000    0.128    0.001 sre_compile.py:783(compile)
       28    0.001    0.000    0.814    0.029 __init__.py:1(<module>)
        1    0.001    0.001    0.001    0.001 {built-in method builtins.sorted}
       14    0.001    0.000    0.002    0.000 __init__.py:328(namedtuple)
     2102    0.001    0.000    0.002    0.000 typing.py:935(_is_dunder)
       30    0.001    0.000    0.001    0.000 {built-in method builtins.eval}
     2798    0.001    0.000    0.002    0.000 {built-in method builtins.max}
      248    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:721(spec_from_file_location)
     5817    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
      239    0.001    0.000    0.001    0.000 {method '__exit__' of '_io._IOBase' objects}
