AssertionError: ('Bad return', ('profile', 0, 'main()'))
         379218 function calls (361640 primitive calls) in 0.373 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    49332    0.005    0.000    0.005    0.000 {method 'append' of 'list' objects}
45257/40970    0.006    0.000    0.007    0.000 {built-in method builtins.len}
    33891    0.006    0.000    0.006    0.000 {built-in method builtins.isinstance}
    19987    0.007    0.000    0.010    0.000 sre_parse.py:165(__getitem__)
    17156    0.009    0.000    0.009    0.000 sre_parse.py:234(__next)
    11059    0.005    0.000    0.010    0.000 sre_parse.py:255(get)
     9308    0.002    0.000    0.002    0.000 {built-in method builtins.min}
     8329    0.002    0.000    0.003    0.000 sre_parse.py:161(__len__)
     8163    0.003    0.000    0.005    0.000 sre_parse.py:250(match)
     6539    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
     6531    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
     5817    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
     5814    0.002    0.000    0.002    0.000 {method 'startswith' of 'str' objects}
     5215    0.002    0.000    0.003    0.000 sre_parse.py:173(append)
     4135    0.002    0.000    0.002    0.000 sre_parse.py:112(__init__)
     4078    0.001    0.000    0.002    0.000 {method 'join' of 'str' objects}
     3807    0.001    0.000    0.001    0.000 {method 'add' of 'set' objects}
 3602/377    0.007    0.000    0.009    0.000 sre_parse.py:175(getwidth)
     3595    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
 3581/183    0.017    0.000    0.036    0.000 sre_compile.py:87(_compile)
     3360    0.001    0.000    0.002    0.000 sre_parse.py:287(tell)
     3165    0.003    0.000    0.003    0.000 {built-in method builtins.getattr}
     3163    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
 3030/223    0.029    0.000    0.081    0.000 sre_parse.py:494(_parse)
     3026    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:128(<listcomp>)
     3026    0.003    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
2889/2863    0.001    0.000    0.002    0.000 {built-in method builtins.hasattr}
     2798    0.001    0.000    0.002    0.000 {built-in method builtins.max}
     2788    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
     2622    0.002    0.000    0.002    0.000 {method 'match' of 're.Pattern' objects}
     2241    0.001    0.000    0.002    0.000 css_parser.py:305(match)
     2102    0.001    0.000    0.002    0.000 typing.py:935(_is_dunder)
     2102    0.002    0.000    0.004    0.000 typing.py:986(__setattr__)
     2067    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
     1706    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
     1609    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
1587/1040    0.001    0.000    0.001    0.000 {built-in method builtins.hash}
     1450    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
     1450    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
     1187    0.001    0.000    0.002    0.000 {built-in method builtins.setattr}
     1184    0.007    0.000    0.007    0.000 {built-in method posix.stat}
     1184    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
     1089    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
 1062/184    0.006    0.000    0.082    0.000 sre_parse.py:436(_parse_sub)
     1034    0.001    0.000    0.001    0.000 sre_parse.py:169(__setitem__)
     1019    0.001    0.000    0.003    0.000 sre_parse.py:296(_class_escape)
      998    0.000    0.000    0.000    0.000 {method 'group' of 're.Match' objects}
      956    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
      943    0.000    0.000    0.001    0.000 typing.py:1031(__eq__)
      904    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
      828    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:893(__enter__)
      828    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:897(__exit__)
      786    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
  780/750    0.001    0.000    0.018    0.000 typing.py:306(inner)
      768    0.001    0.000    0.001    0.000 sre_parse.py:356(_escape)
      755    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:404(parent)
      751    0.000    0.000    0.000    0.000 sre_parse.py:82(groups)
      742    0.000    0.000    0.000    0.000 typing.py:1022(<genexpr>)
  741/456    0.000    0.000    0.001    0.000 typing.py:1037(__hash__)
      737    0.000    0.000    0.000    0.000 {built-in method from_bytes}
  733/712    0.014    0.000    0.126    0.000 {built-in method builtins.__build_class__}
      733    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
      731    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
      719    0.001    0.000    0.001    0.000 sre_compile.py:447(_simple)
      717    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
      695    0.000    0.000    0.000    0.000 {built-in method fromkeys}
      695    0.001    0.000    0.001    0.000 sre_parse.py:433(_uniq)
      688    0.001    0.000    0.002    0.000 sre_compile.py:265(_compile_charset)
      688    0.008    0.000    0.011    0.000 sre_compile.py:292(_optimize_charset)
      662    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
      661    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      652    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
      642    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1356(_path_importer_cache)
      612    0.000    0.000    0.000    0.000 {method 'end' of 're.Match' objects}
      590    0.001    0.000    0.001    0.000 enum.py:470(__setattr__)
      588    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
      563    0.003    0.000    0.004    0.000 {built-in method __new__ of type object at 0x5617acf129a0}
      559    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:71(_relax_case)
      559    0.006    0.000    0.024    0.000 <frozen importlib._bootstrap_external>:1536(find_spec)
      540    0.000    0.000    0.001    0.000 typing.py:137(_type_convert)
      490    0.002    0.000    0.004    0.000 typing.py:146(_type_check)
      489    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
