('Total Revenue', '227,583,000', '211,915,000', '198,270,000', '168,088,000', '143,015,000')
         540742 function calls (521915 primitive calls) in 1.675 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      770    1.034    0.001    1.034    0.001 {method 'read' of '_ssl._SSLSocket' objects}
        1    0.052    0.052    0.052    0.052 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
        1    0.041    0.041    0.041    0.041 {method 'do_handshake' of '_ssl._SSLSocket' objects}
        1    0.041    0.041    0.041    0.041 {method 'connect' of '_socket.socket' objects}
 3221/193    0.037    0.000    0.098    0.001 sre_parse.py:494(_parse)
        1    0.024    0.024    0.024    0.024 {built-in method _socket.getaddrinfo}
      185    0.022    0.000    0.022    0.000 {built-in method marshal.loads}
 3993/183    0.020    0.000    0.046    0.000 sre_compile.py:87(_compile)
       97    0.013    0.000    0.013    0.000 {method 'decompress' of 'zlib.Decompress' objects}
    11634    0.013    0.000    0.013    0.000 {method 'match' of 're.Pattern' objects}
     1220    0.011    0.000    0.060    0.000 parser.py:300(parse_starttag)
    22135    0.011    0.000    0.011    0.000 sre_parse.py:234(__next)
        2    0.010    0.005    0.101    0.050 parser.py:133(goahead)
      902    0.009    0.000    0.013    0.000 sre_compile.py:292(_optimize_charset)
    23358    0.009    0.000    0.013    0.000 sre_parse.py:165(__getitem__)
  533/532    0.008    0.000    0.111    0.000 {built-in method builtins.__build_class__}
56850/56846    0.008    0.000    0.010    0.000 {built-in method builtins.isinstance}
 4003/366    0.008    0.000    0.011    0.000 sre_parse.py:175(getwidth)
53057/48289    0.007    0.000    0.009    0.000 {built-in method builtins.len}
    59761    0.007    0.000    0.007    0.000 {method 'append' of 'list' objects}
 1205/184    0.007    0.000    0.099    0.001 sre_parse.py:436(_parse_sub)
     1221    0.007    0.000    0.017    0.000 element.py:1199(__init__)
        1    0.006    0.006    0.039    0.039 dammit.py:70(_populate_class_variables)
    11/10    0.006    0.001    0.011    0.001 {built-in method _imp.exec_dynamic}
    14927    0.006    0.000    0.013    0.000 sre_parse.py:255(get)
      951    0.005    0.000    0.005    0.000 {built-in method posix.stat}
      477    0.005    0.000    0.018    0.000 <frozen importlib._bootstrap_external>:1536(find_spec)
      788    0.004    0.000    0.004    0.000 {built-in method __new__ of type object at 0x55c40070b9a0}
     1220    0.004    0.000    0.026    0.000 __init__.py:722(handle_starttag)
     1153    0.004    0.000    0.020    0.000 parser.py:385(parse_endtag)
     1220    0.004    0.000    0.031    0.000 _htmlparser.py:105(handle_starttag)
      297    0.004    0.000    0.344    0.001 {method 'read' of '_io.BufferedReader' objects}
2149/1317    0.004    0.000    0.009    0.000 element.py:2336(_matches)
      902    0.004    0.000    0.007    0.000 __init__.py:295(_replace_cdata_list_attribute_values)
     1987    0.004    0.000    0.004    0.000 element.py:156(setup)
    10521    0.004    0.000    0.006    0.000 sre_parse.py:250(match)
      185    0.003    0.000    0.003    0.000 {built-in method io.open_code}
     11/9    0.003    0.000    0.005    0.001 {built-in method _imp.create_dynamic}
