('Total Revenue', '227,583,000', '211,915,000', '198,270,000', '168,088,000', '143,015,000')
         541098 function calls (522232 primitive calls) in 1.950 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      765    1.242    0.002    1.242    0.002 {method 'read' of '_ssl._SSLSocket' objects}
        1    0.055    0.055    0.055    0.055 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
        1    0.042    0.042    0.042    0.042 {method 'do_handshake' of '_ssl._SSLSocket' objects}
        1    0.041    0.041    0.041    0.041 {method 'connect' of '_socket.socket' objects}
 3221/193    0.037    0.000    0.109    0.001 sre_parse.py:494(_parse)
      185    0.033    0.000    0.033    0.000 {built-in method marshal.loads}
 3993/183    0.021    0.000    0.049    0.000 sre_compile.py:87(_compile)
        1    0.020    0.020    0.020    0.020 {built-in method _socket.getaddrinfo}
    23397    0.019    0.000    0.023    0.000 sre_parse.py:165(__getitem__)
      104    0.013    0.000    0.013    0.000 {method 'decompress' of 'zlib.Decompress' objects}
    22135    0.012    0.000    0.012    0.000 sre_parse.py:234(__next)
     1220    0.011    0.000    0.058    0.000 parser.py:300(parse_starttag)
    11634    0.011    0.000    0.011    0.000 {method 'match' of 're.Pattern' objects}
      902    0.011    0.000    0.016    0.000 sre_compile.py:292(_optimize_charset)
       18    0.010    0.001    0.915    0.051 __init__.py:1(<module>)
        2    0.010    0.005    0.098    0.049 parser.py:133(goahead)
  533/532    0.010    0.000    0.131    0.000 {built-in method builtins.__build_class__}
56889/56885    0.009    0.000    0.012    0.000 {built-in method builtins.isinstance}
      406    0.008    0.000    0.008    0.000 socket.py:78(<lambda>)
 4003/366    0.008    0.000    0.011    0.000 sre_parse.py:175(getwidth)
53156/48349    0.007    0.000    0.009    0.000 {built-in method builtins.len}
 1205/184    0.007    0.000    0.111    0.001 sre_parse.py:436(_parse_sub)
     1221    0.007    0.000    0.017    0.000 element.py:1199(__init__)
    59800    0.007    0.000    0.007    0.000 {method 'append' of 'list' objects}
    14927    0.006    0.000    0.014    0.000 sre_parse.py:255(get)
      788    0.006    0.000    0.006    0.000 {built-in method __new__ of type object at 0x56492aaf09a0}
    11/10    0.005    0.000    0.011    0.001 {built-in method _imp.exec_dynamic}
      951    0.005    0.000    0.005    0.000 {built-in method posix.stat}
        1    0.005    0.005    0.036    0.036 dammit.py:70(_populate_class_variables)
      477    0.005    0.000    0.020    0.000 <frozen importlib._bootstrap_external>:1536(find_spec)
      185    0.005    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:618(_validate_timestamp_pyc)
2149/1317    0.005    0.000    0.011    0.000 element.py:2336(_matches)
     1220    0.005    0.000    0.027    0.000 __init__.py:722(handle_starttag)
      902    0.005    0.000    0.008    0.000 __init__.py:295(_replace_cdata_list_attribute_values)
     8223    0.004    0.000    0.004    0.000 {method 'startswith' of 'str' objects}
     1220    0.004    0.000    0.032    0.000 _htmlparser.py:105(handle_starttag)
     1153    0.004    0.000    0.020    0.000 parser.py:385(parse_endtag)
      185    0.004    0.000    0.004    0.000 {built-in method io.open_code}
    10521    0.004    0.000    0.007    0.000 sre_parse.py:250(match)
      323    0.004    0.000    0.568    0.002 {method 'read' of '_io.BufferedReader' objects}
     11/9    0.003    0.000    0.005    0.001 {built-in method _imp.create_dynamic}
     3571    0.003    0.000    0.003    0.000 {method 'search' of 're.Pattern' objects}
     1321    0.003    0.000    0.017    0.000 element.py:2240(search_tag)
     1221    0.003    0.000    0.004    0.000 __init__.py:572(pushTag)
     1220    0.003    0.000    0.006    0.000 __init__.py:688(_popToTag)
     1987    0.003    0.000    0.003    0.000 element.py:156(setup)
        1    0.003    0.003    0.003    0.003 models.py:906(text)
     9588    0.003    0.000    0.004    0.000 sre_parse.py:161(__len__)
     4752    0.003    0.000    0.005    0.000 _markupbase.py:44(updatepos)
      475    0.003    0.000    0.004    0.000 css_types.py:37(__init__)
     2544    0.003    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
      327    0.003    0.000    0.180    0.001 re.py:288(_compile)
    10267    0.003    0.000    0.003    0.000 {built-in method builtins.min}
       19    0.003    0.000    0.007    0.000 enum.py:180(__new__)
     2544    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:128(<listcomp>)
     5830    0.002    0.000    0.003    0.000 sre_parse.py:173(append)
     4668    0.002    0.000    0.002    0.000 sre_parse.py:112(__init__)
     1220    0.002    0.000    0.002    0.000 __init__.py:558(popTag)
      185    0.002    0.000    0.056    0.000 <frozen importlib._bootstrap_external>:950(get_code)
      763    0.002    0.000    0.002    0.000 {method 'findall' of 're.Pattern' objects}
     2443    0.002    0.000    0.007    0.000 __init__.py:586(endData)
    11599    0.002    0.000    0.002    0.000 {method 'get' of 'dict' objects}
      232    0.002    0.000    0.028    0.000 <frozen importlib._bootstrap>:921(_find_spec)
      370    0.002    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:380(cache_from_source)
      902    0.002    0.000    0.002    0.000 sre_compile.py:265(_compile_charset)
     2765    0.002    0.000    0.002    0.000 {method 'count' of 'str' objects}
     5132    0.002    0.000    0.002    0.000 {method 'group' of 're.Match' objects}
     1706    0.002    0.000    0.019    0.000 element.py:2303(search)
     4139    0.002    0.000    0.002    0.000 sre_parse.py:287(tell)
     1924    0.002    0.000    0.002    0.000 {built-in method builtins.getattr}
     8269    0.002    0.000    0.002    0.000 {built-in method builtins.hasattr}
      216    0.002    0.000    0.024    0.000 <frozen importlib._bootstrap_external>:1399(_get_spec)
    235/3    0.002    0.000    0.392    0.131 <frozen importlib._bootstrap>:1022(_find_and_load)
      212    0.002    0.000    0.008    0.000 <frozen importlib._bootstrap>:492(_init_module_attrs)
     1220    0.002    0.000    0.005    0.000 parser.py:351(check_for_whole_start_tag)
    212/3    0.001    0.000    0.392    0.131 <frozen importlib._bootstrap>:664(_load_unlocked)
      765    0.001    0.000    1.247    0.002 socket.py:691(readinto)
       16    0.001    0.000    0.001    0.000 {built-in method builtins.eval}
       35    0.001    0.000    0.023    0.001 element.py:792(_find_all)
     1068    0.001    0.000    0.003    0.000 sre_parse.py:296(_class_escape)
      765    0.001    0.000    1.245    0.002 ssl.py:1292(recv_into)
      265    0.001    0.000    0.001    0.000 sre_compile.py:437(<listcomp>)
     2156    0.001    0.000    0.003    0.000 element.py:2203(_normalize_search_value)
     4474    0.001    0.000    0.003    0.000 abc.py:117(__instancecheck__)
      183    0.001    0.000    0.175    0.001 sre_compile.py:783(compile)
      105    0.001    0.000    0.014    0.000 response.py:119(decompress)
      313    0.001    0.000    0.005    0.000 css_parser.py:999(selector_iter)
      183    0.001    0.000    0.010    0.000 sre_compile.py:560(_compile_info)
      321    0.001    0.000    0.003    0.000 enum.py:89(__setitem__)
      273    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
       16    0.001    0.000    0.003    0.000 __init__.py:328(namedtuple)
3759/3691    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
      765    0.001    0.000    1.243    0.002 ssl.py:1150(read)
     2686    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
  205/170    0.001    0.000    0.001    0.000 sre_compile.py:485(_get_literal_prefix)
      273    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:125(release)
     1220    0.001    0.000    0.013    0.000 __init__.py:763(handle_endtag)
    234/3    0.001    0.000    0.392    0.131 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
      123    0.001    0.000    0.002    0.000 sre_compile.py:516(_get_charset_prefix)
      185    0.001    0.000    0.001    0.000 {method '__exit__' of '_io._IOBase' objects}
      803    0.001    0.000    0.002    0.000 sre_parse.py:356(_escape)
    45/14    0.001    0.000    0.018    0.001 css_parser.py:847(parse_selectors)
     4474    0.001    0.000    0.001    0.000 {built-in method _abc._abc_instancecheck}
     3692    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
