CarNumber,Refund,Fines,Make,Model,Year
Y163O8161RUS,2.0,3200.0,Ford,Focus,1989.0
E432XX77RUS,1.0,6500.0,Toyota,Camry,1995.0
7184TT36RUS,1.0,2100.0,Ford,Focus,1984.0
X582HE161RUS,2.0,2000.0,Ford,Focus,2015.0
92918M178RUS,1.0,5700.0,Ford,Focus,2014.0
H234YH197RUS,2.0,6000.0,Ford,Focus,1990.0
E40577152RUS,1.0,8594.5864661654,Ford,Focus,1988.0
707987163RUS,2.0,2200.0,Ford,Focus,2016.0
K330T8197RUS,2.0,8200.0,Skoda,Octavia,2018.0
X786CO96RUS,1.0,8594.5864661654,Ford,Focus,2000.0
C477M7161RUS,1.0,2500.0,Ford,Focus,2000.0
O21997197RUS,1.0,2000.0,Ford,Focus,1992.0
M592CH197RUS,2.0,8594.5864661654,Skoda,Octavia,1985.0
9020YC197RUS,2.0,145000.0,Skoda,Octavia,2018.0
8182XX154RUS,1.0,200.0,Ford,Focus,2017.0
7830C8197RUS,2.0,8594.5864661654,Ford,Focus,1998.0
7066C8197RUS,2.0,15000.0,Volkswagen,Passat,1986.0
M298CH161RUS,2.0,8594.5864661654,Ford,Focus,2014.0
E445TC197RUS,1.0,8594.5864661654,Ford,Focus,1985.0
8440XX154RUS,1.0,6200.0,Ford,Focus,1996.0
9371CE154RUS,2.0,8594.5864661654,Skoda,Octavia,2015.0
9182CE154RUS,2.0,19800.0,Ford,Focus,2007.0
83298C154RUS,2.0,8594.5864661654,Ford,Focus,2013.0
Y7659C197RUS,2.0,8594.5864661654,Ford,Focus,1992.0
C922YE197RUS,2.0,3800.0,Volkswagen,Golf,1998.0
7364C8197RUS,2.0,8594.5864661654,Ford,Focus,1995.0
M5039X197RUS,2.0,7400.0,Volkswagen,,1986.0
8603T8154RUS,1.0,1500.0,Ford,Focus,2000.0
92928M178RUS,1.0,8594.5864661654,Ford,Focus,2006.0
O672E8197RUS,2.0,63300.0,Skoda,Octavia,2008.0
E42277152RUS,2.0,10600.0,Ford,Focus,1989.0
C903MC161RUS,1.0,1600.0,Volkswagen,Jetta,1996.0
T7318T163RUS,2.0,12000.0,Toyota,Camry,1980.0
Y7719C197RUS,1.0,9200.0,Ford,Focus,1985.0
T011MY163RUS,1.0,2000.0,Ford,Focus,1985.0
H115YO163RUS,1.0,2200.0,Ford,Focus,2015.0
73467Y96RUS,1.0,800.0,Ford,Focus,1984.0
O134HE197RUS,1.0,8594.5864661654,Ford,Focus,1992.0
H968HY161RUS,1.0,2400.0,Ford,Focus,2010.0
Y654E8750RUS,1.0,500.0,Skoda,Octavia,2010.0
H963HY161RUS,2.0,2800.0,Ford,Focus,1992.0
H232YH197RUS,2.0,8600.0,Ford,Focus,2018.0
7843C8197RUS,2.0,12300.0,Ford,Focus,2005.0
X791O796RUS,1.0,500.0,Ford,Focus,2012.0
H958HY161RUS,1.0,1800.0,Ford,Focus,2006.0
708587163RUS,2.0,1400.0,Ford,Focus,2012.0
Y973O8197RUS,2.0,8594.5864661654,Ford,Focus,2005.0
97977H178RUS,1.0,1000.0,Ford,Focus,1995.0
H917TC36RUS,2.0,4000.0,Ford,Focus,1982.0
X786CO96RUS,1.0,1000.0,Ford,Focus,1987.0
Y7709C197RUS,1.0,500.0,Ford,Focus,2013.0
8513XX154RUS,1.0,1500.0,Ford,Focus,1988.0
T870X7163RUS,2.0,2000.0,Skoda,Octavia,2019.0
8818C877RUS,1.0,2500.0,Volkswagen,Passat,2010.0
T395OT197RUS,2.0,8594.5864661654,Volkswagen,Touareg,2004.0
K327T8197RUS,2.0,20800.0,Volkswagen,Golf,2005.0
8311XX154RUS,2.0,8600.0,Ford,Focus,1980.0
X423MK197RUS,2.0,14300.0,Ford,Focus,2005.0
96429X178RUS,1.0,2600.0,Ford,Focus,2008.0
O275O7161RUS,2.0,16600.0,Ford,Focus,1994.0
7789KT197RUS,2.0,12600.0,Ford,Focus,2019.0
E28877161RUS,1.0,1000.0,Ford,Focus,1985.0
T6068M116RUS,1.0,1000.0,Ford,Focus,1998.0
9498KX178RUS,2.0,1600.0,Ford,Focus,2019.0
99209X178RUS,1.0,500.0,Skoda,Octavia,2012.0
T6449O50RUS,2.0,8594.5864661654,Ford,Focus,1984.0
9683EC178RUS,2.0,26000.0,Ford,Focus,2014.0
